,Date,Close,High,Low,Open,Volume
0,2021-01-19,121.56169891357422,123.90416906722082,121.36797340960393,123.16444589363658,19843800
1,2021-01-20,119.73877716064453,121.67615262563467,119.27204622617441,121.36794143648453,16028800
2,2021-01-21,118.7348861694336,119.90612116068793,118.28577144056133,119.49222558342905,13411700
3,2021-01-22,117.81903839111328,118.3562212069903,116.41884518551961,116.85035709902635,12933200
4,2021-01-25,116.34838104248047,117.27304165159816,114.53429241281275,116.36599733676431,14212800
5,2021-01-26,115.87284088134766,117.27303384455251,115.66148567589815,116.90317231298677,11307800
6,2021-01-27,112.59690856933594,114.34936019999962,112.14778715818947,114.12038870252223,17603900
7,2021-01-28,114.57833862304688,116.3924274457659,113.59204103491929,114.39340110662452,13761800
8,2021-01-29,113.31022644042969,115.99614033921522,112.88752942207365,115.52940930206678,14808100
9,2021-02-01,114.14682006835938,114.54311280373652,113.14290624248248,113.95308113377823,11080700
10,2021-02-02,117.66053009033203,118.34741781896491,115.5558328834089,116.18988516173104,12253600
11,2021-02-03,119.00788879394531,119.55387303467553,117.57246300806806,117.6957502055651,10600800
12,2021-02-04,121.74662017822266,122.1076802876079,119.29847945143077,119.29847945143077,12419500
13,2021-02-05,121.50885772705078,122.83861252817495,120.9804898154198,122.75054449092184,10051300
14,2021-02-08,123.41098022460938,123.55188367020982,121.68494660923437,121.70256289925747,10136400
15,2021-02-09,122.9178695678711,123.27011485337783,122.00201032587948,122.78576750783384,8614800
16,2021-02-10,122.98831176757812,124.05386240778357,122.44231414893116,123.28772158075195,10323200
17,2021-02-11,122.64488983154297,123.7720909836608,121.72022906716411,122.98833372262109,9201000
18,2021-02-12,124.38848876953125,124.70551483592233,122.4070792139104,122.45111322482735,8324600
19,2021-02-16,127.38265228271484,127.97268402202424,125.40124212212254,126.4139709332483,12130600
20,2021-02-17,127.7789535522461,128.0255279802922,126.03530282025051,126.76622467385094,10810100
21,2021-02-18,128.21046447753906,128.3865871664133,126.28188945671145,126.81027096063403,10587800
22,2021-02-19,130.35035705566406,131.0724639022145,128.44820031690844,128.44820031690844,11969800
23,2021-02-22,131.57443237304688,132.26132009222363,129.2671813886335,129.33763313384347,11488400
24,2021-02-23,132.6311492919922,134.12821155960063,131.73290655650987,133.42370771681632,16234400
25,2021-02-24,134.96482849121094,135.40514179320962,132.19086006353746,132.19086006353746,15061400
26,2021-02-25,133.1331329345703,136.40906520753154,132.61356642650892,135.8542795452357,18127700
27,2021-02-26,129.6018524169922,132.8601690874791,129.0206354687309,132.35821876838028,19829200
28,2021-03-01,132.53433227539062,133.30928815275033,130.75546239204147,131.67132178115722,14845500
29,2021-03-02,132.10279846191406,133.6615113893449,131.95309354441903,132.16444877709827,14221700
30,2021-03-03,134.65660095214844,136.47949081450574,132.81609479739953,133.1771414490163,14324100
31,2021-03-04,132.587158203125,135.9511587586921,130.87874019844833,134.39244568550905,20093900
32,2021-03-05,132.8953399658203,135.167357805129,130.30629606899663,134.92958490266946,18465100
33,2021-03-08,134.65660095214844,136.90220120814007,132.75444449267596,134.2691231432973,17133300
34,2021-03-09,133.70555114746094,135.83666611191126,131.93549634868072,133.4149427290409,16238800
35,2021-03-10,136.6116485595703,137.518693146853,133.42377020142493,133.7760290064324,14342200
36,2021-03-11,135.8983154296875,137.5098504259719,135.05290790620518,135.713377914855,11771500
37,2021-03-12,137.50982666015625,138.81316359348986,136.55876183689412,138.13507740602657,12849500
38,2021-03-15,136.822998046875,138.18797243825188,135.58132432211173,137.6860220893689,12101100
39,2021-03-16,135.1849822998047,136.1448754903237,134.02256219436296,135.69574733185925,12805600
40,2021-03-17,136.5763397216797,138.1526684398991,134.7798678495042,136.7964963129277,13952400
41,2021-03-18,138.83074951171875,142.3884877676018,138.35521715810293,138.78672894062476,21898500
42,2021-03-19,136.62037658691406,137.32488038111174,133.14190505984755,136.94620404884745,54418800
43,2021-03-22,132.9481964111328,135.59007616213268,132.63117030352103,134.55974467171816,19944800
44,2021-03-23,131.61846923828125,133.9609259899851,131.17815589917424,132.3846101483925,17076300
45,2021-03-24,132.63999938964844,134.89440176394933,131.9707278839335,132.09401509386254,13079800
46,2021-03-25,134.33958435058594,134.70944589313194,131.50396575377167,132.09398393621137,15608300
47,2021-03-26,136.5763397216797,136.89336575056853,134.33955466700812,135.88065080574435,16754400
48,2021-03-29,134.45407104492188,135.37873171882052,133.00984387026077,133.9609222687883,17570300
49,2021-03-30,136.03916931152344,137.2632395312353,135.51080150748052,136.0215664574939,13184300
50,2021-03-31,134.0577850341797,136.04800977200048,133.96091556961943,134.98244566183757,16736700
51,2021-04-01,135.36111450195312,135.4315528019606,133.4589579066724,133.76716914041373,16561500
52,2021-04-05,136.07858276367188,137.24786236025258,135.1750632751502,136.76951579203936,13508000
53,2021-04-06,135.12196350097656,136.66328360774875,134.51961690623472,135.34341684017974,13071600
54,2021-04-07,137.2390594482422,137.5048061635409,135.21940603827494,135.61803286944271,16903500
55,2021-04-08,137.4073486328125,137.7528152637231,134.91821553363113,136.4152421063897,12335500
56,2021-04-09,138.43487548828125,139.1080886041464,137.27446244547093,138.01854223402225,12122400
57,2021-04-12,138.14254760742188,139.2941073187494,137.80594782701658,137.8148010919311,12273400
58,2021-04-13,136.49493408203125,137.47818714025522,135.02448112713145,137.07957395804226,16113600
59,2021-04-14,133.94381713867188,136.26464334923372,133.69577701269915,134.17412369997368,19939600
60,2021-04-15,134.79421997070312,134.82079329070083,132.26965995584362,133.97927328574767,17694100
61,2021-04-16,135.79518127441406,136.86700779569176,135.25483462202538,136.30008782568052,13773400
62,2021-04-19,135.21937561035156,136.3089355462527,134.8384824334046,135.90145553896315,11900200
63,2021-04-20,132.22537231445312,134.42218580025943,131.6761588056715,134.41333253202296,13716700
64,2021-04-21,133.35028076171875,133.4122941585322,130.02848206928775,130.91429505393603,12236700
65,2021-04-22,130.5422821044922,133.13772171252722,130.44484211545804,133.07570830294355,15256100
66,2021-04-23,133.04029846191406,133.87296510634272,129.93995198713216,130.37399184308134,14041900
67,2021-04-26,133.36805725097656,135.05111074398204,133.20861733414867,133.56293727139234,10799100
68,2021-04-27,133.97927856445312,134.26274534418317,132.96945181543484,133.31491850545584,12821200
69,2021-04-28,134.8473663330078,135.4320064046326,134.11213960955956,135.02452630477427,8943700
70,2021-04-29,137.4693603515625,137.54908030007192,135.70658711915246,136.0077603800353,12976900
