Date,Close,High,Low,Open,Volume
2021-01-19,207.68276977539062,208.2009147581072,204.0269259531728,205.10160570482998,30480900
2021-01-20,215.26316833496094,216.6544982014575,208.4984094044723,208.89182426038445,37777300
2021-01-21,215.86766052246094,217.1438501575346,213.42083121134726,215.60858068821213,30709400
2021-01-22,216.8079833984375,220.76129675652857,216.66405830590344,217.89226790023852,30172700
2021-01-25,220.24314880371094,220.48303373157987,215.14799527840105,219.84973400806652,33152100
2021-01-26,222.9298553466797,224.70499496772388,220.77089106924308,222.47887052630207,49169600
2021-01-27,223.476806640625,230.71174470769552,220.8284821455737,228.37046532559663,69870600
2021-01-28,229.26283264160156,232.8227316681534,225.57820339979344,226.07716818506384,49111200
2021-01-29,222.5748291015625,228.38963718019693,221.98950931508602,226.44177281435506,42503100
2021-02-01,229.95372009277344,232.68841453250545,223.0258411774408,225.54943567803622,33314200
2021-02-02,229.81935119628906,232.50606531871057,229.03253624582663,231.53693548030532,25916300
2021-02-03,233.1681671142578,235.1736017454573,229.57948305731,229.87695268863132,27158100
2021-02-04,232.2182159423828,233.39846040880124,230.64457129523996,232.84192558169505,25296100
2021-02-05,232.40052795410156,233.4368326563768,230.69254834518915,232.42931297571354,18054800
2021-02-08,232.65960693359375,233.82064184477534,231.06676741699246,233.31208694294955,22211900
2021-02-09,233.90701293945312,234.85694793762076,231.61371348356542,232.08387859856478,23565000
2021-02-10,232.99545288085938,235.97001736898727,231.14353351995416,235.08724254171878,22186700
2021-02-11,234.59788513183594,235.23117025659255,232.3525509282651,234.87614522468496,15751100
2021-02-12,235.0776824951172,235.37513751785033,232.9091129771485,234.06055791477417,16561100
2021-02-16,233.83984375,236.1715330517929,233.0914038855764,235.11603342688002,26728500
2021-02-17,234.85926818847656,234.96506123995204,231.72396952450393,232.08943909780746,21653500
2021-02-18,234.4649658203125,234.5996101987233,231.64704608816618,232.55109320398296,16925600
2021-02-19,231.75283813476562,234.53229432170122,230.993047615162,234.42650126233121,25262600
2021-02-22,225.5399627685547,228.82914565099242,223.5106699015232,228.33865848721146,36446900
2021-02-23,224.34735107421875,225.84767822105573,219.98099932623367,221.5198046781942,30228700
2021-02-24,225.578369140625,226.20350050371414,220.24065598414828,221.21201778644493,26339700
2021-02-25,220.23109436035156,225.6168844933576,219.16355148383207,223.20289775237097,39542200
2021-02-26,223.49142456054688,226.36704708770696,220.76004395905966,222.6739313555886,37819200
2021-03-01,227.8769989013672,228.38672511898815,224.23195895822414,226.87677089593706,25324000
2021-03-02,224.92437744140625,228.22318624719486,224.52044436470175,227.94427064116957,22812500
2021-03-03,218.85577392578125,224.6455116135166,218.56724606158295,223.2798287097905,34029500
2021-03-04,218.0575408935547,223.59722946005738,215.68201757357087,218.06716778420983,44727800
2021-03-05,222.74124145507812,224.3473617295842,217.7978484716733,220.7408002725728,41872800
2021-03-08,218.6923065185547,224.44356674168196,218.44225683064087,222.52006696503778,35267400
2021-03-09,224.83786010742188,226.37666560982453,222.8085675052576,223.97229118428092,33080500
2021-03-10,223.5298614501953,227.93467679656288,223.16439187152451,227.93467679656288,29746800
2021-03-11,228.05972290039062,230.02168593321738,225.3475815614815,225.9727277040274,29907600
2021-03-12,226.73251342773438,226.79984295722946,224.3088998432436,225.05906350687266,22653700
2021-03-15,225.8284454345703,226.19391501778802,222.94319632529994,225.97271669511534,26034900
2021-03-16,228.6175079345703,230.87761072964167,226.91520700329045,227.24219835106737,28092200
2021-03-17,227.97317504882812,229.42542669569994,224.30891051557515,227.1172182803652,29562100
2021-03-18,221.89491271972656,225.23218566499116,221.51983088863727,223.66452881126907,34833000
2021-03-19,221.53903198242188,223.57793649132006,220.5772823574496,222.18340247013717,46430700
2021-03-22,226.96334838867188,227.83852958365864,221.3371059951713,221.4621381695142,30127000
2021-03-23,228.49249267578125,231.8297652677323,228.0020056178648,228.40593872587874,31638400
2021-03-24,226.45361328125,228.8964513044981,226.3189688968999,228.75219470524345,25620100
2021-03-25,223.45294189453125,227.8769967829049,222.71240512495487,226.29972771990109,34061900
2021-03-26,227.4345703125,227.65578331481655,222.69315122370767,222.69315122370767,25479900
2021-03-29,226.2420196533203,227.74234693638846,223.0105398608901,227.54037302898925,25227500
2021-03-30,222.98167419433594,224.90517359760773,222.26036191810903,224.59740664901904,24792000
2021-03-31,226.7517547607422,229.9543833600764,223.50103573631569,224.00114974202836,43623500
2021-04-01,233.080078125,233.55132615154153,228.94455090403778,229.34848407327533,30338000
